player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,ts_pct,gp_pred,pts_pred,reb_pred,ast_pred
James Johnson,IND,36.0,200.66,108.86208,18,2.8,1.7,0.8,-1.1,0.486,38.66999999999999,4.741000000000001,2.4509999999999996,0.9770000000000001
James Wiseman,DET,22.0,213.36,108.86208,45,10.0,5.9,0.7,-17.2,0.589,46.379999999999995,9.302,5.195000000000001,0.8970000000000007
Jared Butler,OKC,22.0,190.5,87.543256,6,6.2,0.7,1.3,2.6,0.578,26.800000000000008,4.547999999999998,1.89,1.338
Jared Rhoden,DET,23.0,198.12,95.25432,14,3.2,2.6,0.3,4.3,0.482,23.519999999999992,3.1999999999999993,1.7069999999999999,0.5660000000000001
Jaren Jackson Jr.,MEM,23.0,208.28,109.769264,63,18.6,6.8,1.0,9.8,0.613,64.0,16.990000000000002,7.397999999999998,1.97
Jarred Vanderbilt,LAL,24.0,203.2,97.068688,78,7.9,7.5,2.4,-1.5,0.604,69.86,9.552,7.189,2.343
Jarrell Brantley,UTA,27.0,195.58,113.398,4,5.5,1.5,0.8,16.2,0.7390000000000001,36.92,6.028000000000001,2.383000000000001,1.2580000000000005
Jarrett Allen,CLE,25.0,205.74,110.222856,68,14.3,9.8,1.7,7.7,0.67,65.52,13.272,9.603000000000002,1.8040000000000007
Jarrett Culver,ATL,24.0,198.12,88.45044,10,4.4,3.8,0.6,-5.7,0.452,27.879999999999985,4.351,2.309,0.9250000000000005
Jason Preston,LAC,23.0,190.5,82.10015200000001,14,2.9,1.6,1.9,-1.6,0.489,28.859999999999985,5.1129999999999995,2.261000000000002,2.181
Jalen Johnson,ATL,21.0,203.2,99.336648,70,5.6,4.0,1.2,0.3,0.5539999999999999,49.910000000000004,6.376000000000001,3.814,1.3800000000000003
Jalen Green,HOU,21.0,193.04,84.368112,76,22.1,3.7,3.7,-8.7,0.5379999999999999,72.38,22.49299999999999,4.801,4.357000000000001
Jalen Duren,DET,19.0,210.82,113.398,67,9.1,8.9,1.1,-8.3,0.655,59.14999999999999,10.32,8.897,1.223000000000001
Jalen Brunson,NYK,26.0,187.96,86.18248,68,24.0,3.5,6.2,2.1,0.597,61.92,25.041999999999994,4.864,6.116999999999996
Isaiah Todd,WAS,21.0,205.74,99.336648,6,1.5,2.0,0.7,-6.7,0.226,37.279999999999994,3.9789999999999983,2.1999999999999997,0.7630000000000001
Ish Smith,DEN,34.0,182.88,79.3786,43,2.5,1.3,2.3,-5.3,0.407,37.11,5.088999999999999,1.846000000000001,2.412
Ish Wainright,PHX,28.0,195.58,113.398,60,4.2,2.3,0.9,6.1,0.522,41.86,5.626,2.354000000000001,0.9939999999999998
Ivica Zubac,LAC,26.0,213.36,108.86208,76,10.8,9.9,1.0,-0.6,0.6609999999999999,65.77,12.023,10.174000000000003,1.278000000000001
JD Davison,BOS,20.0,185.42,88.45044,12,1.6,0.8,0.9,-5.8,0.478,34.92,3.4950000000000054,1.7540000000000004,1.3709999999999996
JT Thor,CHA,20.0,205.74,92.079176,69,3.8,2.2,0.5,-7.5,0.506,50.120000000000005,6.907000000000002,2.468000000000001,1.187
